COMMENT,kmp_n_100_min_2_max_200_run_ff_012_210
SORT_BY,100
200,100
199,100
198,100
197,100
196,100
195,100
194,100
193,100
192,100
191,100
190,100
189,100
188,100
187,100
186,100
185,100
184,100
183,100
182,100
181,100
180,100
179,100
178,100
177,100
176,100
175,100
174,100
173,100
172,100
171,100
170,100
169,100
168,100
167,100
166,100
165,100
164,100
163,100
162,100
161,100
160,100
159,100
158,100
157,100
156,100
155,100
154,100
153,100
152,100
151,100
150,100
149,100
148,100
147,100
146,100
145,100
144,100
143,100
142,100
141,100
140,100
139,100
138,100
137,100
136,100
135,100
134,100
133,100
132,100
131,100
130,100
129,100
128,100
127,100
126,100
125,100
124,100
123,100
122,100
121,100
120,100
119,100
118,100
117,100
116,100
115,100
114,100
113,100
112,100
111,100
110,100
109,100
108,100
107,100
106,100
105,100
104,100
103,100
102,100
101,100
100,100
99,100
98,100
97,100
96,100
95,100
94,100
93,100
92,100
91,100
90,100
89,100
88,100
87,100
86,100
85,100
84,100
83,100
82,100
81,100
80,100
79,100
78,100
77,100
76,100
75,100
74,100
73,100
72,100
71,100
70,100
69,100
68,100
67,100
66,100
65,100
64,100
63,100
62,100
61,100
60,100
59,100
58,100
57,100
56,100
55,100
54,100
53,100
52,100
51,100
50,100
49,100
48,100
47,100
46,100
45,100
44,100
43,100
42,100
41,100
40,100
39,100
38,100
37,100
36,100
35,100
34,100
33,100
32,100
31,100
30,100
29,100
28,100
27,100
26,100
25,100
24,100
23,100
22,100
21,100
20,100
19,100
18,100
17,100
16,100
15,100
14,100
13,100
12,100
11,100
10,100
9,100
8,100
7,100
6,100
5,100
4,100
3,100
2,100
1,100
