COMMENT,kmp_n_87_min_2_max_174_run_ff_001122_221100
SORT_BY,87
174,94
173,94
172,94
171,94
170,94
169,94
168,94
167,94
166,94
165,94
164,94
163,94
162,94
161,94
160,94
159,94
158,94
157,94
156,94
155,94
154,94
153,94
152,94
151,94
150,94
149,94
148,94
147,94
146,94
145,94
144,94
143,94
142,94
141,94
140,94
139,94
138,94
137,94
136,94
135,94
134,94
133,94
132,94
131,94
130,94
129,94
128,94
127,94
126,94
125,94
124,94
123,94
122,94
121,94
120,94
119,94
118,94
117,94
116,94
115,94
114,94
113,94
112,94
111,94
110,94
109,94
108,94
107,94
106,94
105,94
104,94
103,94
102,94
101,94
100,94
99,94
98,94
97,94
96,94
95,94
94,94
93,94
92,94
91,94
90,94
89,94
88,94
87,94
86,94
85,94
84,94
83,97
82,98
81,99
80,99
79,99
78,100
77,100
76,100
75,100
74,100
73,100
72,100
71,100
70,100
69,100
68,100
67,100
66,100
65,100
64,100
63,100
62,100
61,100
60,100
59,100
58,100
57,100
56,100
55,100
54,100
53,100
52,100
51,100
50,100
49,100
48,100
47,100
46,100
45,100
44,100
43,100
42,100
41,100
40,100
39,100
38,100
37,100
36,100
35,100
34,100
33,100
32,100
31,100
30,100
29,100
28,100
27,100
26,100
25,100
24,100
23,100
22,100
21,100
20,100
19,100
18,100
17,100
16,100
15,100
14,100
13,100
12,100
11,100
10,100
9,100
8,100
7,101
6,102
5,104
4,106
3,110
2,118
1,143
