COMMENT,kmp_n_90_min_2_max_180_run_ff_anb
SORT_BY,90
180,90
179,90
178,90
177,90
176,90
175,90
174,90
173,90
172,90
171,90
170,90
169,90
168,90
167,90
166,90
165,90
164,90
163,90
162,90
161,90
160,90
159,90
158,90
157,90
156,90
155,90
154,90
153,90
152,90
151,90
150,90
149,90
148,90
147,90
146,90
145,90
144,90
143,90
142,90
141,90
140,90
139,90
138,90
137,90
136,90
135,90
134,90
133,90
132,90
131,90
130,90
129,90
128,90
127,90
126,90
125,90
124,90
123,90
122,90
121,90
120,90
119,90
118,90
117,90
116,90
115,90
114,90
113,90
112,90
111,90
110,90
109,90
108,90
107,90
106,90
105,90
104,90
103,90
102,90
101,90
100,90
99,90
98,90
97,90
96,90
95,90
94,90
93,90
92,90
91,90
90,90
89,90
88,90
87,90
86,90
85,90
84,90
83,90
82,90
81,90
80,90
79,90
78,90
77,90
76,90
75,90
74,90
73,90
72,90
71,90
70,90
69,90
68,90
67,90
66,90
65,90
64,90
63,90
62,90
61,90
60,90
59,90
58,90
57,90
56,90
55,90
54,90
53,90
52,90
51,90
50,90
49,90
48,90
47,90
46,90
45,90
44,90
43,90
42,90
41,90
40,90
39,90
38,90
37,90
36,90
35,90
34,90
33,90
32,90
31,90
30,90
29,90
28,90
27,90
26,90
25,90
24,90
23,90
22,90
21,90
20,90
19,90
18,90
17,90
16,90
15,90
14,90
13,90
12,90
11,90
10,90
9,90
8,90
7,90
6,90
5,90
4,90
3,90
2,90
1,90
