COMMENT,kmp_n_55_min_2_max_110_run_ff_anb
SORT_BY,55
110,55
109,55
108,55
107,55
106,55
105,55
104,55
103,55
102,55
101,55
100,55
99,55
98,55
97,55
96,55
95,55
94,55
93,55
92,55
91,55
90,55
89,55
88,55
87,55
86,55
85,55
84,55
83,55
82,55
81,55
80,55
79,55
78,55
77,55
76,55
75,55
74,55
73,55
72,55
71,55
70,55
69,55
68,55
67,55
66,55
65,55
64,55
63,55
62,55
61,55
60,55
59,55
58,55
57,55
56,55
55,55
54,55
53,55
52,55
51,55
50,55
49,55
48,55
47,55
46,55
45,55
44,55
43,55
42,55
41,55
40,55
39,55
38,55
37,55
36,55
35,55
34,55
33,55
32,55
31,55
30,55
29,55
28,55
27,55
26,55
25,55
24,55
23,55
22,55
21,55
20,55
19,55
18,55
17,55
16,55
15,55
14,55
13,55
12,55
11,55
10,55
9,55
8,55
7,55
6,55
5,55
4,55
3,55
2,55
1,55
