COMMENT,kmp_n_88_min_2_max_176_run_ff_0011n_ceil_n_b
SORT_BY,88
176,88
175,88
174,88
173,88
172,88
171,88
170,88
169,88
168,88
167,88
166,88
165,88
164,88
163,88
162,88
161,88
160,88
159,88
158,88
157,88
156,88
155,88
154,88
153,88
152,88
151,88
150,88
149,88
148,88
147,88
146,88
145,88
144,88
143,88
142,88
141,88
140,88
139,88
138,88
137,88
136,88
135,88
134,88
133,88
132,88
131,88
130,88
129,88
128,88
127,88
126,88
125,88
124,88
123,88
122,88
121,88
120,88
119,88
118,88
117,88
116,88
115,88
114,88
113,88
112,88
111,88
110,88
109,88
108,88
107,88
106,88
105,88
104,88
103,88
102,88
101,88
100,88
99,88
98,88
97,88
96,88
95,88
94,88
93,88
92,88
91,88
90,88
89,88
88,88
87,88
86,88
85,88
84,88
83,88
82,88
81,88
80,88
79,88
78,88
77,88
76,88
75,88
74,88
73,88
72,88
71,88
70,88
69,88
68,88
67,88
66,88
65,88
64,88
63,88
62,88
61,88
60,88
59,88
58,88
57,88
56,88
55,88
54,88
53,88
52,88
51,88
50,88
49,88
48,88
47,88
46,88
45,88
44,88
43,88
42,88
41,88
40,88
39,88
38,88
37,88
36,88
35,88
34,88
33,88
32,88
31,88
30,88
29,89
28,90
27,91
26,92
25,93
24,94
23,95
22,96
21,97
20,98
19,99
18,100
17,101
16,102
15,103
14,106
13,109
12,112
11,115
10,118
9,124
8,130
7,138
6,148
5,163
4,186
3,223
2,298
1,523
