COMMENT,kmp_n_49_min_2_max_98_run_ff_0011n_ceil_n_b
SORT_BY,49
98,49
97,49
96,49
95,49
94,49
93,49
92,49
91,49
90,49
89,49
88,49
87,49
86,49
85,49
84,49
83,49
82,49
81,49
80,49
79,49
78,49
77,49
76,49
75,49
74,49
73,49
72,49
71,49
70,49
69,49
68,49
67,49
66,49
65,49
64,49
63,49
62,49
61,49
60,49
59,49
58,49
57,49
56,49
55,49
54,49
53,49
52,49
51,49
50,49
49,49
48,49
47,49
46,49
45,49
44,49
43,49
42,49
41,49
40,49
39,49
38,49
37,49
36,49
35,49
34,49
33,49
32,49
31,49
30,49
29,49
28,49
27,49
26,49
25,49
24,49
23,49
22,49
21,49
20,49
19,49
18,49
17,49
16,50
15,51
14,52
13,53
12,54
11,55
10,56
9,57
8,59
7,62
6,65
5,70
4,77
3,89
2,113
1,185
