COMMENT,kmp_n_67_min_2_max_134_run_ff_0011n_ceil_n_b
SORT_BY,67
134,67
133,67
132,67
131,67
130,67
129,67
128,67
127,67
126,67
125,67
124,67
123,67
122,67
121,67
120,67
119,67
118,67
117,67
116,67
115,67
114,67
113,67
112,67
111,67
110,67
109,67
108,67
107,67
106,67
105,67
104,67
103,67
102,67
101,67
100,67
99,67
98,67
97,67
96,67
95,67
94,67
93,67
92,67
91,67
90,67
89,67
88,67
87,67
86,67
85,67
84,67
83,67
82,67
81,67
80,67
79,67
78,67
77,67
76,67
75,67
74,67
73,67
72,67
71,67
70,67
69,67
68,67
67,67
66,67
65,67
64,67
63,67
62,67
61,67
60,67
59,67
58,67
57,67
56,67
55,67
54,67
53,67
52,67
51,67
50,67
49,67
48,67
47,67
46,67
45,67
44,67
43,67
42,67
41,67
40,67
39,67
38,67
37,67
36,67
35,67
34,67
33,67
32,67
31,67
30,67
29,67
28,67
27,67
26,67
25,67
24,67
23,67
22,68
21,69
20,70
19,71
18,72
17,73
16,74
15,75
14,76
13,77
12,78
11,80
10,83
9,86
8,89
7,94
6,100
5,109
4,122
3,144
2,188
1,320
