COMMENT,kmp_n_80_min_2_max_160_run_ff_0011n_ceil_n_b
SORT_BY,80
160,80
159,80
158,80
157,80
156,80
155,80
154,80
153,80
152,80
151,80
150,80
149,80
148,80
147,80
146,80
145,80
144,80
143,80
142,80
141,80
140,80
139,80
138,80
137,80
136,80
135,80
134,80
133,80
132,80
131,80
130,80
129,80
128,80
127,80
126,80
125,80
124,80
123,80
122,80
121,80
120,80
119,80
118,80
117,80
116,80
115,80
114,80
113,80
112,80
111,80
110,80
109,80
108,80
107,80
106,80
105,80
104,80
103,80
102,80
101,80
100,80
99,80
98,80
97,80
96,80
95,80
94,80
93,80
92,80
91,80
90,80
89,80
88,80
87,80
86,80
85,80
84,80
83,80
82,80
81,80
80,80
79,80
78,80
77,80
76,80
75,80
74,80
73,80
72,80
71,80
70,80
69,80
68,80
67,80
66,80
65,80
64,80
63,80
62,80
61,80
60,80
59,80
58,80
57,80
56,80
55,80
54,80
53,80
52,80
51,80
50,80
49,80
48,80
47,80
46,80
45,80
44,80
43,80
42,80
41,80
40,80
39,80
38,80
37,80
36,80
35,80
34,80
33,80
32,80
31,80
30,80
29,80
28,80
27,80
26,81
25,82
24,83
23,84
22,85
21,86
20,87
19,88
18,89
17,90
16,91
15,92
14,93
13,95
12,98
11,101
10,104
9,107
8,113
7,119
6,128
5,140
4,158
3,188
2,249
1,431
