COMMENT,kmp_n_61_min_2_max_122_run_ff_0011n_ceil_n_b
SORT_BY,61
122,61
121,61
120,61
119,61
118,61
117,61
116,61
115,61
114,61
113,61
112,61
111,61
110,61
109,61
108,61
107,61
106,61
105,61
104,61
103,61
102,61
101,61
100,61
99,61
98,61
97,61
96,61
95,61
94,61
93,61
92,61
91,61
90,61
89,61
88,61
87,61
86,61
85,61
84,61
83,61
82,61
81,61
80,61
79,61
78,61
77,61
76,61
75,61
74,61
73,61
72,61
71,61
70,61
69,61
68,61
67,61
66,61
65,61
64,61
63,61
62,61
61,61
60,61
59,61
58,61
57,61
56,61
55,61
54,61
53,61
52,61
51,61
50,61
49,61
48,61
47,61
46,61
45,61
44,61
43,61
42,61
41,61
40,61
39,61
38,61
37,61
36,61
35,61
34,61
33,61
32,61
31,61
30,61
29,61
28,61
27,61
26,61
25,61
24,61
23,61
22,61
21,61
20,62
19,63
18,64
17,65
16,66
15,67
14,68
13,69
12,70
11,71
10,73
9,76
8,79
7,82
6,88
5,95
4,106
3,124
2,161
1,271
