COMMENT,kmp_n_65_min_2_max_130_run_ff_0011n_ceil_n_b
SORT_BY,65
130,65
129,65
128,65
127,65
126,65
125,65
124,65
123,65
122,65
121,65
120,65
119,65
118,65
117,65
116,65
115,65
114,65
113,65
112,65
111,65
110,65
109,65
108,65
107,65
106,65
105,65
104,65
103,65
102,65
101,65
100,65
99,65
98,65
97,65
96,65
95,65
94,65
93,65
92,65
91,65
90,65
89,65
88,65
87,65
86,65
85,65
84,65
83,65
82,65
81,65
80,65
79,65
78,65
77,65
76,65
75,65
74,65
73,65
72,65
71,65
70,65
69,65
68,65
67,65
66,65
65,65
64,65
63,65
62,65
61,65
60,65
59,65
58,65
57,65
56,65
55,65
54,65
53,65
52,65
51,65
50,65
49,65
48,65
47,65
46,65
45,65
44,65
43,65
42,65
41,65
40,65
39,65
38,65
37,65
36,65
35,65
34,65
33,65
32,65
31,65
30,65
29,65
28,65
27,65
26,65
25,65
24,65
23,65
22,65
21,66
20,67
19,68
18,69
17,70
16,71
15,72
14,73
13,74
12,75
11,76
10,79
9,82
8,85
7,89
6,95
5,103
4,115
3,135
2,175
1,296
