COMMENT,kmp_n_55_min_2_max_110_run_ff_001122_112200
SORT_BY,55
110,60
109,60
108,60
107,60
106,60
105,60
104,60
103,60
102,60
101,60
100,60
99,60
98,60
97,60
96,60
95,60
94,60
93,60
92,60
91,60
90,60
89,60
88,60
87,60
86,60
85,60
84,60
83,60
82,60
81,60
80,60
79,60
78,60
77,60
76,60
75,60
74,60
73,60
72,60
71,60
70,60
69,60
68,60
67,60
66,60
65,60
64,60
63,60
62,60
61,60
60,60
59,60
58,60
57,60
56,60
55,60
54,60
53,60
52,62
51,63
50,63
49,64
48,64
47,64
46,64
45,64
44,64
43,64
42,64
41,64
40,64
39,64
38,64
37,64
36,64
35,64
34,64
33,64
32,64
31,64
30,64
29,64
28,64
27,64
26,64
25,64
24,64
23,64
22,64
21,64
20,64
19,64
18,64
17,64
16,64
15,64
14,64
13,64
12,64
11,64
10,64
9,64
8,64
7,64
6,64
5,64
4,65
3,67
2,70
1,80
