COMMENT,kmp_n_42_min_2_max_84_run_ff_001122_112200
SORT_BY,42
84,44
83,44
82,44
81,44
80,44
79,44
78,44
77,44
76,44
75,44
74,44
73,44
72,44
71,44
70,44
69,44
68,44
67,44
66,44
65,44
64,44
63,44
62,44
61,44
60,44
59,44
58,44
57,44
56,44
55,44
54,44
53,44
52,44
51,44
50,44
49,44
48,44
47,44
46,44
45,44
44,44
43,44
42,44
41,44
40,44
39,44
38,44
37,45
36,45
35,45
34,45
33,45
32,45
31,45
30,45
29,45
28,45
27,45
26,45
25,45
24,45
23,45
22,45
21,45
20,45
19,45
18,45
17,45
16,45
15,45
14,45
13,45
12,45
11,45
10,45
9,45
8,45
7,45
6,45
5,45
4,45
3,46
2,47
1,51
