COMMENT,kmp_n_44_min_2_max_88_run_ff_anb
SORT_BY,44
88,44
87,44
86,44
85,44
84,44
83,44
82,44
81,44
80,44
79,44
78,44
77,44
76,44
75,44
74,44
73,44
72,44
71,44
70,44
69,44
68,44
67,44
66,44
65,44
64,44
63,44
62,44
61,44
60,44
59,44
58,44
57,44
56,44
55,44
54,44
53,44
52,44
51,44
50,44
49,44
48,44
47,44
46,44
45,44
44,44
43,44
42,44
41,44
40,44
39,44
38,44
37,44
36,44
35,44
34,44
33,44
32,44
31,44
30,44
29,44
28,44
27,44
26,44
25,44
24,44
23,44
22,44
21,44
20,44
19,44
18,44
17,44
16,44
15,44
14,44
13,44
12,44
11,44
10,44
9,44
8,44
7,44
6,44
5,44
4,44
3,44
2,44
1,44
