COMMENT,kmp_n_49_min_2_max_98_run_ff_random
SORT_BY,49
98,50
97,50
96,50
95,50
94,50
93,50
92,50
91,50
90,50
89,50
88,50
87,50
86,50
85,50
84,50
83,50
82,50
81,50
80,50
79,50
78,50
77,50
76,50
75,50
74,50
73,50
72,50
71,50
70,50
69,50
68,50
67,50
66,50
65,50
64,50
63,50
62,50
61,50
60,50
59,50
58,50
57,50
56,50
55,50
54,50
53,50
52,50
51,50
50,50
49,50
48,50
47,50
46,50
45,50
44,50
43,50
42,50
41,50
40,50
39,50
38,50
37,50
36,50
35,51
34,51
33,51
32,52
31,52
30,52
29,52
28,52
27,52
26,52
25,53
24,53
23,54
22,54
21,54
20,54
19,55
18,55
17,55
16,56
15,58
14,59
13,61
12,61
11,63
10,64
9,66
8,67
7,70
6,70
5,75
4,84
3,87
2,100
1,107
