COMMENT,kmp_n_98_min_2_max_196_run_ff_random
SORT_BY,98
196,100
195,100
194,100
193,100
192,100
191,100
190,100
189,100
188,100
187,100
186,100
185,100
184,100
183,100
182,100
181,100
180,100
179,100
178,100
177,100
176,100
175,100
174,100
173,100
172,100
171,100
170,100
169,100
168,100
167,100
166,100
165,100
164,100
163,100
162,100
161,100
160,100
159,100
158,100
157,100
156,100
155,100
154,100
153,100
152,100
151,100
150,100
149,100
148,100
147,100
146,100
145,100
144,100
143,100
142,100
141,100
140,100
139,100
138,100
137,100
136,100
135,100
134,100
133,100
132,100
131,100
130,100
129,100
128,100
127,100
126,100
125,100
124,100
123,100
122,100
121,100
120,100
119,100
118,100
117,100
116,100
115,100
114,100
113,100
112,100
111,100
110,100
109,100
108,100
107,100
106,100
105,100
104,100
103,100
102,100
101,100
100,100
99,100
98,100
97,100
96,100
95,100
94,100
93,100
92,100
91,100
90,100
89,100
88,100
87,100
86,100
85,100
84,100
83,100
82,100
81,100
80,100
79,100
78,100
77,100
76,100
75,100
74,100
73,100
72,100
71,100
70,100
69,100
68,100
67,100
66,100
65,100
64,100
63,100
62,100
61,100
60,100
59,101
58,101
57,101
56,101
55,101
54,101
53,101
52,101
51,101
50,101
49,101
48,101
47,101
46,101
45,101
44,101
43,101
42,101
41,101
40,101
39,101
38,101
37,101
36,101
35,102
34,102
33,102
32,103
31,103
30,103
29,103
28,103
27,103
26,104
25,106
24,106
23,107
22,108
21,108
20,108
19,111
18,111
17,111
16,112
15,116
14,117
13,119
12,120
11,123
10,127
9,131
8,134
7,139
6,141
5,150
4,164
3,172
2,197
1,210
