COMMENT,kmp_n_93_min_2_max_186_run_ff_anb
SORT_BY,93
186,93
185,93
184,93
183,93
182,93
181,93
180,93
179,93
178,93
177,93
176,93
175,93
174,93
173,93
172,93
171,93
170,93
169,93
168,93
167,93
166,93
165,93
164,93
163,93
162,93
161,93
160,93
159,93
158,93
157,93
156,93
155,93
154,93
153,93
152,93
151,93
150,93
149,93
148,93
147,93
146,93
145,93
144,93
143,93
142,93
141,93
140,93
139,93
138,93
137,93
136,93
135,93
134,93
133,93
132,93
131,93
130,93
129,93
128,93
127,93
126,93
125,93
124,93
123,93
122,93
121,93
120,93
119,93
118,93
117,93
116,93
115,93
114,93
113,93
112,93
111,93
110,93
109,93
108,93
107,93
106,93
105,93
104,93
103,93
102,93
101,93
100,93
99,93
98,93
97,93
96,93
95,93
94,93
93,93
92,93
91,93
90,93
89,93
88,93
87,93
86,93
85,93
84,93
83,93
82,93
81,93
80,93
79,93
78,93
77,93
76,93
75,93
74,93
73,93
72,93
71,93
70,93
69,93
68,93
67,93
66,93
65,93
64,93
63,93
62,93
61,93
60,93
59,93
58,93
57,93
56,93
55,93
54,93
53,93
52,93
51,93
50,93
49,93
48,93
47,93
46,93
45,93
44,93
43,93
42,93
41,93
40,93
39,93
38,93
37,93
36,93
35,93
34,93
33,93
32,93
31,93
30,93
29,93
28,93
27,93
26,93
25,93
24,93
23,93
22,93
21,93
20,93
19,93
18,93
17,93
16,93
15,93
14,93
13,93
12,93
11,93
10,93
9,93
8,93
7,93
6,93
5,93
4,93
3,93
2,93
1,93
