COMMENT,kmp_n_64_min_2_max_128_run_ff_random
SORT_BY,64
128,64
127,64
126,64
125,64
124,64
123,64
122,64
121,64
120,64
119,64
118,64
117,64
116,64
115,64
114,64
113,64
112,64
111,64
110,64
109,64
108,64
107,64
106,64
105,64
104,64
103,64
102,64
101,64
100,64
99,64
98,64
97,64
96,64
95,64
94,64
93,64
92,64
91,64
90,64
89,64
88,64
87,64
86,64
85,64
84,64
83,64
82,64
81,64
80,64
79,64
78,64
77,64
76,64
75,64
74,64
73,64
72,64
71,64
70,64
69,64
68,64
67,64
66,64
65,64
64,64
63,64
62,64
61,64
60,64
59,64
58,64
57,64
56,64
55,64
54,64
53,64
52,64
51,64
50,64
49,64
48,64
47,64
46,64
45,64
44,64
43,64
42,64
41,64
40,64
39,64
38,64
37,64
36,64
35,65
34,65
33,65
32,66
31,66
30,66
29,66
28,66
27,66
26,66
25,67
24,67
23,68
22,68
21,68
20,68
19,70
18,70
17,70
16,71
15,73
14,74
13,76
12,76
11,78
10,80
9,83
8,84
7,88
6,88
5,95
4,105
3,109
2,125
1,131
