COMMENT,kmp_n_78_min_2_max_156_run_ff_anb
SORT_BY,78
156,78
155,78
154,78
153,78
152,78
151,78
150,78
149,78
148,78
147,78
146,78
145,78
144,78
143,78
142,78
141,78
140,78
139,78
138,78
137,78
136,78
135,78
134,78
133,78
132,78
131,78
130,78
129,78
128,78
127,78
126,78
125,78
124,78
123,78
122,78
121,78
120,78
119,78
118,78
117,78
116,78
115,78
114,78
113,78
112,78
111,78
110,78
109,78
108,78
107,78
106,78
105,78
104,78
103,78
102,78
101,78
100,78
99,78
98,78
97,78
96,78
95,78
94,78
93,78
92,78
91,78
90,78
89,78
88,78
87,78
86,78
85,78
84,78
83,78
82,78
81,78
80,78
79,78
78,78
77,78
76,78
75,78
74,78
73,78
72,78
71,78
70,78
69,78
68,78
67,78
66,78
65,78
64,78
63,78
62,78
61,78
60,78
59,78
58,78
57,78
56,78
55,78
54,78
53,78
52,78
51,78
50,78
49,78
48,78
47,78
46,78
45,78
44,78
43,78
42,78
41,78
40,78
39,78
38,78
37,78
36,78
35,78
34,78
33,78
32,78
31,78
30,78
29,78
28,78
27,78
26,78
25,78
24,78
23,78
22,78
21,78
20,78
19,78
18,78
17,78
16,78
15,78
14,78
13,78
12,78
11,78
10,78
9,78
8,78
7,78
6,78
5,78
4,78
3,78
2,78
1,78
