COMMENT,kmp_n_62_min_2_max_124_run_ff_000111_111000
SORT_BY,62
124,62
123,62
122,62
121,62
120,62
119,62
118,62
117,62
116,62
115,62
114,62
113,62
112,62
111,62
110,62
109,62
108,62
107,62
106,62
105,62
104,62
103,62
102,62
101,62
100,62
99,62
98,62
97,62
96,62
95,62
94,62
93,62
92,62
91,62
90,62
89,62
88,62
87,62
86,62
85,62
84,62
83,62
82,62
81,62
80,62
79,62
78,62
77,62
76,62
75,62
74,62
73,62
72,62
71,62
70,62
69,62
68,62
67,62
66,62
65,62
64,62
63,62
62,62
61,62
60,62
59,62
58,62
57,62
56,62
55,62
54,62
53,62
52,62
51,62
50,62
49,62
48,62
47,62
46,62
45,62
44,62
43,62
42,62
41,62
40,62
39,62
38,62
37,62
36,62
35,62
34,62
33,62
32,62
31,62
30,63
29,64
28,65
27,66
26,67
25,68
24,69
23,70
22,71
21,72
20,73
19,74
18,75
17,76
16,77
15,79
14,82
13,85
12,88
11,91
10,95
9,101
8,107
7,116
6,127
5,143
4,167
3,207
2,287
1,527
