COMMENT,kmp_n_75_min_2_max_150_run_ff_random
SORT_BY,75
150,75
149,75
148,75
147,75
146,75
145,75
144,75
143,75
142,75
141,75
140,75
139,75
138,75
137,75
136,75
135,75
134,75
133,75
132,75
131,75
130,75
129,75
128,75
127,75
126,75
125,75
124,75
123,75
122,75
121,75
120,75
119,75
118,75
117,75
116,75
115,75
114,75
113,75
112,75
111,75
110,75
109,75
108,75
107,75
106,75
105,75
104,75
103,75
102,75
101,75
100,75
99,75
98,75
97,75
96,75
95,75
94,75
93,75
92,75
91,75
90,75
89,75
88,75
87,75
86,75
85,75
84,75
83,75
82,75
81,75
80,75
79,75
78,75
77,75
76,75
75,75
74,75
73,75
72,75
71,75
70,75
69,75
68,75
67,75
66,75
65,75
64,75
63,75
62,75
61,75
60,75
59,76
58,76
57,76
56,76
55,76
54,76
53,76
52,76
51,76
50,76
49,76
48,76
47,76
46,76
45,76
44,76
43,76
42,76
41,76
40,76
39,76
38,76
37,76
36,76
35,77
34,77
33,77
32,78
31,78
30,78
29,78
28,78
27,78
26,78
25,80
24,80
23,81
22,82
21,82
20,82
19,84
18,84
17,84
16,85
15,87
14,88
13,90
12,90
11,93
10,96
9,99
8,100
7,104
6,105
5,112
4,124
3,129
2,147
1,156
