COMMENT,kmp_n_58_min_2_max_116_run_ff_random
SORT_BY,58
116,58
115,58
114,58
113,58
112,58
111,58
110,58
109,58
108,58
107,58
106,58
105,58
104,58
103,58
102,58
101,58
100,58
99,58
98,58
97,58
96,58
95,58
94,58
93,58
92,58
91,58
90,58
89,58
88,58
87,58
86,58
85,58
84,58
83,58
82,58
81,58
80,58
79,58
78,58
77,58
76,58
75,58
74,58
73,58
72,58
71,58
70,58
69,58
68,58
67,58
66,58
65,58
64,58
63,58
62,58
61,58
60,58
59,58
58,58
57,58
56,58
55,58
54,58
53,58
52,58
51,58
50,58
49,58
48,58
47,58
46,58
45,58
44,58
43,58
42,58
41,58
40,58
39,58
38,58
37,58
36,58
35,59
34,59
33,59
32,60
31,60
30,60
29,60
28,60
27,60
26,60
25,61
24,61
23,62
22,62
21,62
20,62
19,64
18,64
17,64
16,65
15,67
14,68
13,70
12,70
11,72
10,74
9,76
8,77
7,81
6,81
5,88
4,98
3,102
2,118
1,124
